step,N,errors,error_rate
step1,375,41,0.10933333333333334
step2,750,97,0.12933333333333333
step3,1125,155,0.13777777777777778
step4,1500,206,0.13733333333333334
full,1500,206,0.13733333333333334
N100,100,15,0.15
N400,400,45,0.1125
N900,900,132,0.14666666666666667
